a-durationLastBug,a-durationLastReport,a-bugsLast8hours,a-bugsLast24hours,a-bugsLast1week,a-bugsLast2week,a-bugsLastPast,a-reportsLast8hours,a-reportsLast24hours,a-reportsLast1week,a-reportsLast2week,a-reportsLastPast,e-probSim,e-cosSim,e-eucSim,e-jacSim0.0,e-jacSim0.1,e-jacSim0.3,e-jacSim0.5,p-probSim,p-cosSim,p-eucSim,p-jacSim0.0,p-jacSim0.1,p-jacSim0.3,p-jacSim0.5,le-probSim,le-cosSim,le-eucSim,le-jacSim0.0,le-jacSim0.1,le-jacSim0.3,le-jacSim0.5,lp-probSim,lp-cosSim,lp-eucSim,lp-jacSim0.0,lp-jacSim0.1,lp-jacSim0.3,lp-jacSim0.5,t-beginHours,t-beforeTasks,t-afterTasks,t-reportNum,t-moreReports,t-lessReports,activeTasks,category
230.0,230.0,0.0,0.0,0.0,36.0,612.0,0.0,0.0,0.0,36.0,678.0,158.27276145693577,0.5687091149906914,14.452734745026715,0.5955056179775281,0.5898876404494382,0.5224719101123596,0.4606741573033708,254.5845032537177,0.8996809935977356,10.807250191077076,1.0,1.0,1.0,0.9831460674157303,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,8.0,19.0,42.0,60.0,0.0,16.0,27.0,57.0,81.0,298.6544008723332,0.14703014900466516,150.44039515662186,0.3202247191011236,0.3202247191011236,0.29213483146067415,0.25280898876404495,468.43085096648343,0.7133291916016516,40.78243804238816,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,4.0,17.0,33.0,310.0,0.0,7.0,26.0,47.0,507.0,238.25067639668364,0.36323113369126664,45.03783057997934,0.5786516853932584,0.5786516853932584,0.5168539325842697,0.43820224719101125,183.18404888556165,0.9643481194287268,3.1417586744983996,1.0,1.0,0.9943820224719101,0.9719101123595506,1.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
18.0,18.0,0.0,6.0,6.0,17.0,69.0,0.0,10.0,12.0,35.0,111.0,109.12541186878987,0.38014029271232885,17.200130437482507,0.3146067415730337,0.3146067415730337,0.3089887640449438,0.2640449438202247,242.8099896583705,0.9028247858352971,9.872589702321704,1.0,1.0,1.0,0.9943820224719101,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,3.0,8.0,28.0,120.0,0.0,3.0,12.0,40.0,192.0,157.2969035379607,0.21946981060008885,51.216237758098586,0.3595505617977528,0.3595505617977528,0.3089887640449438,0.2303370786516854,248.56227191676626,0.9005747278292855,10.342472765811301,1.0,1.0,0.9943820224719101,0.9831460674157303,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,2.0,9.0,17.0,157.0,0.0,2.0,12.0,22.0,206.0,222.42549135872136,0.35403827825592243,43.11194490000831,0.5056179775280899,0.5056179775280899,0.5,0.46629213483146065,197.7286979896364,0.9465292435180348,4.952928937171576,1.0,1.0,0.9943820224719101,0.9831460674157303,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,1.0,4.0,12.0,27.0,0.0,1.0,4.0,79.0,110.0,108.95445875133441,0.12853607600042524,61.91961417995851,0.0898876404494382,0.0898876404494382,0.0898876404494382,0.07865168539325842,487.44987283216756,0.7198630010124681,42.17432007195672,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
42.0,42.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,5.0,5.0,56.25341671307739,0.1486856287741429,26.45086517204692,0.0449438202247191,0.0449438202247191,0.0449438202247191,0.0449438202247191,1075.115761918285,0.5333048336532232,144.42474783618755,1.0,1.0,1.0,0.9943820224719101,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
18.0,18.0,0.0,3.0,5.0,17.0,101.0,0.0,6.0,8.0,20.0,114.0,239.9077961182301,0.21380751725349775,81.58109632577232,0.38202247191011235,0.38202247191011235,0.3595505617977528,0.33707865168539325,292.0540237942129,0.8927403581728232,13.947417455282443,1.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,4.0,9.0,22.0,50.0,0.0,4.0,11.0,30.0,95.0,113.14559517167469,0.2890645279781758,25.978638545369666,0.24719101123595505,0.24719101123595505,0.24157303370786518,0.21910112359550563,364.10742841266307,0.7927473756473669,25.177104984805084,1.0,1.0,1.0,0.9943820224719101,3.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,1.0,29.0,53.0,177.0,0.0,4.0,42.0,111.0,332.0,188.17545738547724,0.27435312221717983,48.321293330805055,0.4606741573033708,0.4550561797752809,0.4044943820224719,0.3258426966292135,246.78848418565147,0.9386901211959794,8.453965269510634,1.0,1.0,1.0,0.9887640449438202,2.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
38.0,38.0,0.0,0.0,3.0,4.0,19.0,0.0,0.0,4.0,6.0,26.0,62.89710710658972,0.24788673337476022,16.162044361001684,0.15168539325842698,0.15168539325842698,0.15168539325842698,0.12921348314606743,503.2195463312061,0.6853039422010095,46.8994856869425,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,7.0,10.0,14.0,75.0,0.0,9.0,12.0,19.0,114.0,133.48592040484414,0.27093369147983454,33.81027336086205,0.2808988764044944,0.2808988764044944,0.2752808988764045,0.24719101123595505,268.8555457710711,0.8534565130504094,13.986609740391794,1.0,1.0,1.0,0.9887640449438202,0.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
18.0,18.0,0.0,1.0,1.0,9.0,33.0,0.0,2.0,2.0,10.0,39.0,190.47797418542,0.20491913945505452,67.22217524258349,0.2640449438202247,0.2640449438202247,0.2640449438202247,0.24719101123595505,465.9459190956299,0.7248086615607092,39.5919834261448,1.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
9446.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.991147523193,0.4841140072413975,360.664534284896,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,22.0,50.0,101.0,157.0,0.0,29.0,62.0,153.0,236.0,122.87159094624643,0.29666410690448236,27.972429162616308,0.43820224719101125,0.43820224719101125,0.37640449438202245,0.30337078651685395,303.0415206509162,0.8762925227089954,15.580604036654659,1.0,1.0,1.0,0.9943820224719101,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,1.0,8.0,40.0,94.0,0.0,1.0,8.0,62.0,134.0,231.06285875799048,0.18153385544613151,93.24973790319794,0.34831460674157305,0.34831460674157305,0.3146067415730337,0.29775280898876405,364.5260163915946,0.8010652079186137,24.72016842349682,1.0,1.0,1.0,0.9943820224719101,0.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
40.0,40.0,0.0,0.0,2.0,2.0,20.0,0.0,0.0,2.0,3.0,24.0,183.10313945490648,0.2262339654658733,57.88308103532629,0.21348314606741572,0.21348314606741572,0.20786516853932585,0.20224719101123595,349.5870835934625,0.677813975045975,31.14244555846112,1.0,1.0,1.0,0.9719101123595506,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,2.0,9.0,26.0,69.0,0.0,2.0,9.0,27.0,76.0,234.11636188791334,0.339846786002542,47.617793713884204,0.4157303370786517,0.4157303370786517,0.4101123595505618,0.3651685393258427,286.03796744067466,0.8608411587705485,14.968418797631884,1.0,1.0,1.0,0.9775280898876404,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,20.0,0.0,11.0,20.0,37.0,67.0,0.0,15.0,24.0,57.0,96.0,454.05912321938615,0.12970454469535378,260.75893196682233,0.33707865168539325,0.33707865168539325,0.3202247191011236,0.29213483146067415,390.6428228680162,0.7985678073865672,27.20492667807973,1.0,1.0,1.0,0.9943820224719101,0.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
39.0,39.0,0.0,0.0,5.0,14.0,21.0,0.0,0.0,5.0,15.0,32.0,41.87919997265749,0.28981090114151536,7.45911894734167,0.1348314606741573,0.1348314606741573,0.12921348314606743,0.11797752808988764,453.79998729645723,0.7202045911075531,38.735684436491674,1.0,1.0,1.0,1.0,4.0,0.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,3.0,3.0,3.0,9.0,0.0,5.0,5.0,5.0,16.0,156.76309060768492,0.16888282931149678,67.4021104047471,0.0898876404494382,0.0898876404494382,0.0898876404494382,0.0898876404494382,691.7094739824781,0.5903125394385697,80.6701356542995,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
20.0,19.0,0.0,12.0,22.0,27.0,48.0,0.0,16.0,26.0,34.0,59.0,126.21596938389816,0.30758202979019483,27.2312913044195,0.28651685393258425,0.28651685393258425,0.2808988764044944,0.25280898876404495,396.34110402000704,0.745144315308058,31.207382463179762,1.0,1.0,1.0,0.9943820224719101,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
219.0,219.0,0.0,0.0,0.0,5.0,104.0,0.0,0.0,0.0,5.0,127.0,347.6323720624223,0.3752012285492536,64.88049441414302,0.4887640449438202,0.4887640449438202,0.47752808988764045,0.43820224719101125,239.832355691044,0.8579295884575027,11.570429554577737,1.0,1.0,1.0,0.9775280898876404,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,2.0,5.0,7.0,63.0,0.0,2.0,5.0,26.0,134.0,192.08907010680716,0.26741166529124977,50.68998525761233,0.34831460674157305,0.34831460674157305,0.30337078651685395,0.2808988764044944,387.1574188615114,0.7972201343370335,26.980949284671905,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
9446.0,9446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4618.033608190339,0.4722353385841617,726.7688107234942,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
551.0,551.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,26.0,240.75363793065117,0.30780130763441416,54.742008661471075,0.23595505617977527,0.23595505617977527,0.2303370786516854,0.2303370786516854,664.5273350157931,0.5870694823668172,77.75034064894494,1.0,1.0,1.0,0.9887640449438202,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,1.0,6.0,8.0,20.0,0.0,2.0,7.0,10.0,22.0,161.02524841316296,0.20486547619081208,56.347423714932845,0.15730337078651685,0.15730337078651685,0.14606741573033707,0.1404494382022472,531.1803326522088,0.6842792250345694,50.006559772562824,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
1.0,1.0,2.0,7.0,12.0,34.0,269.0,2.0,7.0,12.0,37.0,351.0,218.38384157073548,0.34076824971019604,44.357885117914854,0.601123595505618,0.5842696629213483,0.5730337078651685,0.5224719101123596,207.75009133522283,0.9634853676305895,4.652729919938924,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
42.0,20.0,0.0,0.0,5.0,24.0,57.0,0.0,2.0,11.0,44.0,90.0,94.88836415911015,0.3423438669194969,16.862474336794904,0.2752808988764045,0.2752808988764045,0.23595505617977527,0.21348314606741572,429.8910140261904,0.7482430707526478,34.2413467741614,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
19.0,19.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,6.0,6.0,6.0,80.21863945195904,0.19147738792204416,28.88953317599867,0.05056179775280899,0.05056179775280899,0.05056179775280899,0.05056179775280899,1102.5049734296995,0.5484928357603734,143.77479114904534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,8.0,2.0,2.0,4.0,yes
